City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
154,Port Lincoln,AU,-34.7333,135.8667,73.74,64,0,10.78,clear sky
155,Humaita,BR,-7.5061,-63.0208,71.51,99,100,0.92,moderate rain
156,Young,UY,-32.6833,-57.6333,60.48,75,0,8.14,clear sky
157,Longyearbyen,SJ,78.2186,15.6401,8.44,66,20,13.8,few clouds
158,Bloemfontein,ZA,-29.1211,26.214,76.28,47,1,10.0,clear sky
159,Laramie,US,41.3114,-105.5911,29.95,65,0,5.75,clear sky
160,Copiapo,CL,-27.3667,-70.3333,59.32,86,0,2.08,clear sky
161,Asfi,MA,32.2994,-9.2372,61.14,50,0,9.08,clear sky
162,San Cristobal,VE,7.7669,-72.225,62.22,90,78,3.38,broken clouds
163,Korla,CN,41.7597,86.1469,32.18,34,93,3.94,overcast clouds
164,Souillac,MU,-20.5167,57.5167,87.37,65,89,14.65,overcast clouds
165,La Libertad,EC,-2.2333,-80.9,74.52,83,100,8.21,light rain
166,Yanai,JP,33.9667,132.1167,48.2,51,100,5.55,overcast clouds
167,Ewa Beach,US,21.3156,-158.0072,74.08,69,0,8.99,clear sky
168,Dakar,SN,14.6937,-17.4441,67.08,75,100,21.21,overcast clouds
169,Turukhansk,RU,65.8167,87.9833,1.99,94,100,9.17,overcast clouds
170,Chuy,UY,-33.6971,-53.4616,65.52,79,49,3.71,scattered clouds
171,Sassandra,CI,4.95,-6.0833,77.74,87,22,2.91,few clouds
172,Burnie,AU,-41.0667,145.9167,72.95,63,1,5.86,clear sky
173,Sitka,US,57.0531,-135.33,35.49,69,75,11.5,broken clouds
174,Kenai,US,60.5544,-151.2583,19.49,93,100,0.0,overcast clouds
175,Portland,US,45.5234,-122.6762,41.38,79,94,5.01,overcast clouds
176,Cayenne,GF,4.9333,-52.3333,78.1,89,0,3.0,clear sky
177,Lola,GN,7.8,-8.5333,67.75,47,62,1.12,broken clouds
178,Strezhevoy,RU,60.7333,77.5889,8.58,92,100,7.29,overcast clouds
179,Ouallam,NE,14.3188,2.0866,67.87,12,0,16.71,clear sky
180,Mahebourg,MU,-20.4081,57.7,87.26,66,77,14.09,broken clouds
181,Grand Gaube,MU,-20.0064,57.6608,87.39,57,52,11.01,broken clouds
182,La Ronge,CA,55.1001,-105.2842,13.24,96,100,5.48,light snow
183,Aguazul,CO,5.1728,-72.5471,76.91,57,100,1.92,overcast clouds
184,Hithadhoo,MV,-0.6,73.0833,81.66,66,100,4.0,overcast clouds
185,Sakakah,SA,29.9697,40.2064,51.55,35,0,13.18,clear sky
186,Ormara,PK,25.2088,64.6357,73.6,63,0,11.77,clear sky
187,Waipawa,NZ,-41.4122,175.5153,62.46,90,44,5.5,scattered clouds
188,Port Macquarie,AU,-31.4333,152.9167,76.89,79,100,5.95,overcast clouds
189,Kalanguy,RU,51.0167,116.5167,-0.17,94,21,3.31,few clouds
190,Mwense,ZM,-10.3845,28.698,67.71,97,100,0.74,light rain
191,Puri,IN,19.8,85.85,79.32,36,0,6.2,clear sky
192,Maracai,BR,-22.6106,-50.6672,69.19,99,100,4.7,overcast clouds
193,Gamboula,CF,4.1178,15.1393,79.86,17,96,8.55,overcast clouds
194,Nome,US,64.5011,-165.4064,-2.83,70,0,0.0,clear sky
195,Chisec,GT,15.8167,-90.2833,61.43,99,100,1.99,overcast clouds
196,Kieta,PG,-6.2167,155.6333,80.8,82,100,5.77,overcast clouds
197,Elizabeth City,US,36.2946,-76.2511,26.02,60,0,4.0,clear sky
198,Kozhevnikovo,RU,56.2589,83.9714,15.26,87,98,5.1,overcast clouds
199,Gornopravdinsk,RU,60.05,69.9,14.0,86,100,6.15,overcast clouds
200,Luganville,VU,-15.5333,167.1667,77.65,92,100,3.56,overcast clouds
201,San Quintin,MX,30.4833,-115.95,57.29,79,0,6.85,clear sky
202,Korba,IN,22.35,82.6833,79.65,15,0,5.91,clear sky
203,Havelock,US,34.8791,-76.9013,26.92,55,0,1.01,clear sky
204,North Battleford,CA,52.7834,-108.2847,27.41,91,100,4.56,overcast clouds
205,Luderitz,NA,-26.6481,15.1594,67.93,77,37,13.94,scattered clouds
206,Matagami,CA,49.7502,-77.6328,-5.69,84,100,8.05,overcast clouds
207,La Crosse,US,43.8014,-91.2396,19.6,82,0,1.01,clear sky
208,Kahului,US,20.8947,-156.47,73.85,70,40,9.22,scattered clouds
209,Georgetown,MY,5.4112,100.3354,93.13,67,20,8.05,few clouds
210,Mar Del Plata,AR,-38.0023,-57.5575,68.88,89,0,21.99,clear sky
211,Tual,ID,-5.6667,132.75,84.25,74,100,16.82,moderate rain
212,Zaterechnyy,RU,44.7931,45.2097,38.12,71,100,4.9,overcast clouds
213,Pagudpud,PH,18.5616,120.7868,74.98,85,74,12.46,broken clouds
214,Vardo,NO,70.3705,31.1107,25.57,78,92,5.97,overcast clouds
215,Sarkand,KZ,45.41,79.9186,31.08,97,100,3.6,light snow
216,Nanortalik,GL,60.1432,-45.2371,10.9,84,100,8.28,overcast clouds
217,Carahue,CL,-38.7,-73.1667,55.6,84,100,1.7,overcast clouds
218,Saint-Pierre,RE,-21.3393,55.4781,87.44,66,14,24.16,few clouds
219,Shubarshi,KZ,48.5872,57.1869,26.67,94,98,11.83,overcast clouds
220,Sao Lourenco Do Sul,BR,-31.3653,-51.9783,58.89,73,1,8.14,clear sky
221,Rincon,US,32.296,-81.2354,33.85,68,0,4.61,clear sky
222,Egvekinot,RU,66.3167,-179.1667,-5.08,65,20,3.31,few clouds
223,Hokitika,NZ,-42.7167,170.9667,62.98,80,96,7.11,overcast clouds
224,Diglur,IN,18.55,77.6,83.08,12,41,4.94,scattered clouds
225,Lompoc,US,34.6391,-120.4579,55.22,81,0,5.75,clear sky
226,Ribeira Grande,PT,38.5167,-28.7,55.8,76,40,5.75,scattered clouds
227,Ravar,IR,31.2656,56.8055,50.09,28,6,6.98,clear sky
228,Nuh,IN,28.1167,77.0167,66.65,41,2,13.31,clear sky
229,Aklavik,CA,68.2191,-135.0107,-3.78,91,100,9.44,overcast clouds
230,Vrani,RO,45.0383,21.4925,37.29,71,0,8.05,clear sky
231,Trinidad,BO,-14.8333,-64.9,71.89,98,98,1.81,overcast clouds
232,Poopo,BO,-18.3667,-66.9667,45.79,75,100,3.06,overcast clouds
233,Naze,JP,28.3667,129.4833,54.99,80,100,16.69,overcast clouds
234,Havoysund,NO,70.9963,24.6622,29.28,60,100,16.8,overcast clouds
235,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,19.78,100,100,8.32,overcast clouds
236,Port Hardy,CA,50.6996,-127.4199,47.75,95,100,18.79,moderate rain
237,Sibolga,ID,1.7427,98.7792,82.62,79,98,4.9,overcast clouds
238,Ust-Tsilma,RU,65.441,52.1498,13.78,93,94,6.53,overcast clouds
239,Bartica,GY,6.4,-58.6167,70.12,99,83,1.99,broken clouds
240,Nantucket,US,41.2835,-70.0995,15.96,67,100,30.24,overcast clouds
241,Clyde River,CA,70.4692,-68.5914,-17.57,93,100,2.89,overcast clouds
242,Laguna,US,38.421,-121.4238,52.05,88,0,3.44,clear sky
243,Dingle,PH,10.9995,122.6711,85.15,69,41,4.27,scattered clouds
244,Caborca,MX,30.5838,-111.101,54.68,34,1,3.69,clear sky
245,Grindavik,IS,63.8424,-22.4338,36.07,87,75,21.85,heavy intensity rain
246,Talnakh,RU,69.4865,88.3972,1.2,97,100,7.81,overcast clouds
247,Dickinson,US,29.4608,-95.0513,53.94,81,0,3.44,clear sky
248,Olga,RU,43.7444,135.2892,14.13,53,87,9.57,overcast clouds
249,Kidal,ML,18.4411,1.4078,66.25,15,1,18.1,clear sky
250,Tartagal,AR,-22.5164,-63.8013,67.39,63,40,3.94,scattered clouds
251,Yunyang,CN,33.4474,112.7142,43.65,53,100,5.28,light rain
252,Siyabuswa,ZA,-25.1132,29.0445,74.3,64,100,6.69,overcast clouds
253,Sinnamary,GF,5.3833,-52.95,75.18,87,20,7.94,few clouds
254,Broome,US,42.2506,-75.833,6.48,83,0,5.01,clear sky
255,Snezhnogorsk,RU,69.1933,33.2531,-0.62,100,99,5.93,overcast clouds
256,Katsuura,JP,35.1333,140.3,47.19,55,100,6.64,overcast clouds
257,Abu Kamal,SY,34.4506,40.9171,50.0,58,99,6.93,overcast clouds
258,Rawson,AR,-43.3002,-65.1023,67.53,43,100,26.69,overcast clouds
259,Taseyevo,RU,57.2169,94.8978,10.49,89,100,0.94,overcast clouds
260,Marienburg,PL,54.0359,19.0266,39.85,67,98,26.13,light rain
261,Vila Franca Do Campo,PT,37.7167,-25.4333,56.19,73,23,13.38,few clouds
262,Avarua,CK,-21.2078,-159.775,77.05,88,100,6.91,overcast clouds
263,Beaverlodge,CA,55.2166,-119.4361,28.04,82,4,6.53,clear sky
264,Bacungan,PH,9.9106,118.7022,83.55,70,37,3.98,scattered clouds
265,Paita,PE,-5.0892,-81.1144,71.26,80,100,10.6,overcast clouds
266,Bandarbeyla,SO,9.4942,50.8122,78.48,63,100,17.43,overcast clouds
267,Paragominas,BR,-2.9667,-47.4833,69.46,99,100,2.8,overcast clouds
268,Helong,CN,42.5397,128.9972,18.01,62,2,9.28,clear sky
269,Skagen,DK,57.7209,10.5839,44.28,57,10,36.64,clear sky
270,Camacha,PT,33.0833,-16.3333,59.76,88,20,11.5,few clouds
271,Yar-Sale,RU,66.8333,70.8333,-6.77,96,98,8.52,overcast clouds
272,Kiknur,RU,57.3034,47.2011,14.22,94,85,8.03,overcast clouds
273,Manzanares,ES,38.9991,-3.3699,24.35,32,0,2.77,clear sky
274,Lasa,IT,46.6166,10.7002,40.3,94,51,10.42,broken clouds
275,Telimele,GN,10.9167,-13.3333,68.38,54,17,2.59,few clouds
276,Kundiawa,PG,-6.0167,144.9667,65.91,95,100,2.86,overcast clouds
277,Toropets,RU,56.4978,31.6353,25.79,95,100,13.65,light snow
278,Port Keats,AU,-14.25,129.55,84.16,76,100,20.47,overcast clouds
