City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
26,Dungarpur,23.8333,73.7167,75.78,24,6,1.3,IN,2022-01-19 07:36:08
27,Azul,-36.777,-59.8585,61.34,87,100,11.56,AR,2022-01-19 07:36:08
28,Atuona,-9.8,-139.0333,78.94,72,8,23.02,PF,2022-01-19 07:33:14
29,Lebu,-37.6167,-73.65,52.61,86,13,9.46,CL,2022-01-19 07:35:46
30,Dikson,73.5069,80.5464,-14.66,100,75,6.55,RU,2022-01-19 07:34:36
31,Caravelas,-17.7125,-39.2481,73.65,95,50,2.24,BR,2022-01-19 07:36:09
32,San Patricio,28.017,-97.5169,69.89,88,3,13.71,US,2022-01-19 07:36:09
33,Alofi,-19.0595,-169.9187,78.69,94,6,13.8,NU,2022-01-19 07:36:10
34,Jamestown,42.097,-79.2353,30.72,59,100,5.99,US,2022-01-19 07:33:14
35,Menongue,-14.6585,17.691,63.72,91,100,4.97,AO,2022-01-19 07:36:10
36,Punta Arenas,-53.15,-70.9167,46.51,87,20,9.22,CL,2022-01-19 07:33:13
37,Saskylakh,71.9167,114.0833,-5.49,92,13,12.21,RU,2022-01-19 07:36:10
38,Lata,40.1629,-8.3327,38.05,66,0,3.87,PT,2022-01-19 07:36:11
39,Nicoya,10.1483,-85.452,72.55,82,8,10.47,CR,2022-01-19 07:36:11
40,Vaini,-21.2,-175.2,81.63,86,24,21.32,TO,2022-01-19 07:34:30
41,Upernavik,72.7868,-56.1549,8.64,64,100,9.04,GL,2022-01-19 07:36:11
42,Sobolevo,54.4299,31.8996,22.8,95,96,9.22,RU,2022-01-19 07:36:12
43,Qaqortoq,60.7167,-46.0333,27.1,82,100,15.5,GL,2022-01-19 07:36:12
44,Lianyuan,27.6883,111.6642,57.67,65,100,3.83,CN,2022-01-19 07:36:12
45,Tocache,-8.1842,-76.5125,69.42,97,92,0.58,PE,2022-01-19 07:37:13
46,Moron,-34.6534,-58.6198,71.01,98,100,4.0,AR,2022-01-19 07:37:13
47,Rocha,-34.4833,-54.3333,70.07,97,100,10.02,UY,2022-01-19 07:37:13
48,New Ulm,44.3125,-94.4605,6.28,78,100,26.46,US,2022-01-19 07:37:14
49,Kavaratti,10.5669,72.642,81.43,69,45,10.74,IN,2022-01-19 07:37:14
